Company Name,Address,Website,Company Description,Year Established,Parent Company,Contact Name,Title,Office Phone,Email,Association Memberships - FIDI,Association Memberships - DAB,Association Memberships - Harmony
"A-1 Horton's Moving Service, Inc.","5315 Tulane Dr SW
Suite N
Atlanta, GA, 30336
United States",,"We are a second-generation, female-owned moving and storage company. We have been around for several decades now (we started as Horton's Moving Service back in 1972 and changed our name to A-1 Horton's Moving Service when we incorporated in 1979). We are proud to serve the U.S. Military and DOD and all of metro Atlanta with both local moving and storage and nationwide long-distance moving and storage needs, residential or commercial.",1979,,Loretta Horton  ,President,1 4046999075,a1hortonsmovings@bellsouth.net  ,,Yes,
Abels International Moving Services,"Wimbledon Avenue, Brandon Cambridge, Suffolk, IP27 0NZ
United Kingdom",http://www.abels.co.uk,"When choosing a moving company to undertake the moving of your life’s possessions, it should not be something to be rushed into. Abels has always taken its responsibility of looking after our clients possessions seriously just as if they were our own and from the very beginning of the business in 1958 made the strategic decision to ensure we train and develop our staff, and to achieve the very highest of the industry recognised standards",1962,Gerson Relocation Ltd.,Neil Pertoldi  ,General Manager,44 1842816600,neilpertoldi@abels.co.uk  ,Yes,,Yes
Able Moving & Storage Inc.,"8050 Wellingford Dr Manassas, VA, 20109
United States",http://www.ablemoving.com,"Able Moving & Storage is Nationally recognized as being one of the leading moving companies within the moving and storage industries. Our exceptional customer service and unmatched value set's the gold standard when it comes to moving and storage. Our moving services include - International Relocations, Local Moving, Long Distance Moving, Office Movers, Corporate Relocations, Long Term Storage, Short Term Storage, Car Storage and Moving Services. We always provide outstanding customer service, attention to details and our constant aspiration to improve made us one of the top moving companies in Virginia, Maryland and Washington DC.",1987,,Melanie Bounds  ,Customer Service Manager,+1 7033763422,mbounds@ablemoving.com  ,Yes,Yes,
Able Moving & Storage Inc.,"8050 Wellingford Dr Manassas, VA, 20109
United States",http://www.ablemoving.com,"Able Moving & Storage is Nationally recognized as being one of the leading moving companies within the moving and storage industries. Our exceptional customer service and unmatched value set's the gold standard when it comes to moving and storage. Our moving services include - International Relocations, Local Moving, Long Distance Moving, Office Movers, Corporate Relocations, Long Term Storage, Short Term Storage, Car Storage and Moving Services. We always provide outstanding customer service, attention to details and our constant aspiration to improve made us one of the top moving companies in Virginia, Maryland and Washington DC.",1987,,Wayne Chenault  ,International Corporate Sales & Business Development,,wchenault@ablemoving.com  ,Yes,Yes,
Able Moving & Storage Inc.,"8050 Wellingford Dr Manassas, VA, 20109
United States",http://www.ablemoving.com,"Able Moving & Storage is Nationally recognized as being one of the leading moving companies within the moving and storage industries. Our exceptional customer service and unmatched value set's the gold standard when it comes to moving and storage. Our moving services include - International Relocations, Local Moving, Long Distance Moving, Office Movers, Corporate Relocations, Long Term Storage, Short Term Storage, Car Storage and Moving Services. We always provide outstanding customer service, attention to details and our constant aspiration to improve made us one of the top moving companies in Virginia, Maryland and Washington DC.",1987,,Michele Eckert  ,Director of International,1 7033303772,meckert@ablemoving.com  ,Yes,Yes,
Able Moving & Storage Inc.,"8050 Wellingford Dr Manassas, VA, 20109
United States",http://www.ablemoving.com,"Able Moving & Storage is Nationally recognized as being one of the leading moving companies within the moving and storage industries. Our exceptional customer service and unmatched value set's the gold standard when it comes to moving and storage. Our moving services include - International Relocations, Local Moving, Long Distance Moving, Office Movers, Corporate Relocations, Long Term Storage, Short Term Storage, Car Storage and Moving Services. We always provide outstanding customer service, attention to details and our constant aspiration to improve made us one of the top moving companies in Virginia, Maryland and Washington DC.",1987,,Sheri Peer  ,-,+1 7033303772,speer@ablemoving.com  ,Yes,Yes,
Able Moving & Storage Inc.,"8050 Wellingford Dr Manassas, VA, 20109
United States",http://www.ablemoving.com,"Able Moving & Storage is Nationally recognized as being one of the leading moving companies within the moving and storage industries. Our exceptional customer service and unmatched value set's the gold standard when it comes to moving and storage. Our moving services include - International Relocations, Local Moving, Long Distance Moving, Office Movers, Corporate Relocations, Long Term Storage, Short Term Storage, Car Storage and Moving Services. We always provide outstanding customer service, attention to details and our constant aspiration to improve made us one of the top moving companies in Virginia, Maryland and Washington DC.",1987,,Cathy Powell  ,International Coordinator,1 703-330-3772,cpowell@ablemoving.com  ,Yes,Yes,
Able Moving & Storage Inc.,"8050 Wellingford Dr Manassas, VA, 20109
United States",http://www.ablemoving.com,"Able Moving & Storage is Nationally recognized as being one of the leading moving companies within the moving and storage industries. Our exceptional customer service and unmatched value set's the gold standard when it comes to moving and storage. Our moving services include - International Relocations, Local Moving, Long Distance Moving, Office Movers, Corporate Relocations, Long Term Storage, Short Term Storage, Car Storage and Moving Services. We always provide outstanding customer service, attention to details and our constant aspiration to improve made us one of the top moving companies in Virginia, Maryland and Washington DC.",1987,,Joseph Singleton  ,-,,joe@ablemoving.com  ,Yes,Yes,
Able Moving & Storage Inc.,"8050 Wellingford Dr Manassas, VA, 20109
United States",http://www.ablemoving.com,"Able Moving & Storage is Nationally recognized as being one of the leading moving companies within the moving and storage industries. Our exceptional customer service and unmatched value set's the gold standard when it comes to moving and storage. Our moving services include - International Relocations, Local Moving, Long Distance Moving, Office Movers, Corporate Relocations, Long Term Storage, Short Term Storage, Car Storage and Moving Services. We always provide outstanding customer service, attention to details and our constant aspiration to improve made us one of the top moving companies in Virginia, Maryland and Washington DC.",1987,,Ian Valentine  ,International,,ivalentine@ablemoving.com  ,Yes,Yes,
"Action Moving Services, Inc.","12400 Washburn Ave S Burnsville, MN, 55337-1773
United States",http://www.actionmoving.com,"Action Moving Services Inc. offers comprehensive storage and relocation services across the United States. Whether our customers are moving down the block or across oceans, we offer the highest caliber of service that is built on honesty and integrity. Our goal is to ensure our customers arrive at their destination with efficiently packed boxes, safely transported items, and a successful moving experience. We understand that every move is different and that is why we make it our mission to provide the most complete moving service that aptly meets the demands and needs of our customers.",1981,,Eric Everson  ,Vice President,1 9528948888Cell Phone:1 6123093114  ,eric.everson@actionmoving.comSkype:ericeverson        ,,Yes,
"Action Moving Services, Inc.","12400 Washburn Ave S Burnsville, MN, 55337-1773
United States",http://www.actionmoving.com,"Action Moving Services Inc. offers comprehensive storage and relocation services across the United States. Whether our customers are moving down the block or across oceans, we offer the highest caliber of service that is built on honesty and integrity. Our goal is to ensure our customers arrive at their destination with efficiently packed boxes, safely transported items, and a successful moving experience. We understand that every move is different and that is why we make it our mission to provide the most complete moving service that aptly meets the demands and needs of our customers.",1981,,Bill Everson  ,President,1 800-328-3803,bill.everson@actionmoving.com  ,,Yes,
Adduco OU,"Liivalao 11 Tallinn, Harju, 11216
Estonia",https://adduco.ee/en/,"Welcome to Adduco, Estonia's top mover, reshaping collaborations in the world of moving services. Globally experienced and locally precise, we excel in international partnerships from Estonia. Our focus on precision is seen in delicately handling intricate items to transporting heavy-duty assets like pianos. Adduco's skilled team is dedicated to meticulous execution. Tailoring partnerships to unique needs, from furniture assembly to flawless transitions, we ensure a seamless and efficient process. As industry innovators, we lead with technology, ensuring efficiency and excellence, and setting new standards. With decades of distinction, Adduco brings a legacy of reliability and consistency to every collaboration. Experience partnership redefined with Adduco, your trusted, efficient partner in Estonia. Let our chain of excellence weave success into every collaboration.",2006,,Mihkel Tiits  ,Head of International Department,372 53038341,mihkel@adduco.ee  ,,,
Aegis Logistics & International Movers,"Awidah Street
Malaz
Riyadh, 12836
Saudi Arabia",http://www.alimarabia.com,Aegis Logistics and International Moves – ALIM is a venture of experienced professionals with dedicated and well trained crew in supply chain industry. We provide flexible end-to-end solutions that assist companies and individuals to meet their objectives by giving the best possible service at competitive prices. We are using own branded high quality packing materials and other supporting services to ensure the move stress free and affordable price.,2018,,Prince Kuriakose  ,Operations Manager,966 114995813Cell Phone:966 555881748  ,operations@alimarabia.com  ,,,
Aegis Logistics & International Movers,"Awidah Street
Malaz
Riyadh, 12836
Saudi Arabia",http://www.alimarabia.com,Aegis Logistics and International Moves – ALIM is a venture of experienced professionals with dedicated and well trained crew in supply chain industry. We provide flexible end-to-end solutions that assist companies and individuals to meet their objectives by giving the best possible service at competitive prices. We are using own branded high quality packing materials and other supporting services to ensure the move stress free and affordable price.,2018,,Nisam Kurungote  ,Manager Business DevelopmentCell Phone:966 501200840  ,,info@alimarabia.com  ,,,
Aires,"6 Penn Ctr W Ste 200 Pittsburgh, PA, 15276-0119
United States",http://www.aires.com,"Aires delivers best-in-class global and domestic relocation solutions and mobility program management. Having been recognized by The Forum for Expatriate Management, the Better Business Bureau, and the Stevie Awards for organic growth methodology, excellent client/vendor partnerships, and leading-edge proprietary technology, Aires focuses on people, process, and technology to deliver world-class service. The company has also achieved ISO 9001, ISO 14001, FIDI-FAIM, C-TPAT, and Privacy Shield certifications and registrations. Clients are assured a focus on quality and customer service excellence when partnering with Aires.",1981,,Laura May Carmack  ,"Manager, Corporate Compliance & Quality",1 4126771700,lcarmac@aires.com  ,Yes,,
Aires,"6 Penn Ctr W Ste 200 Pittsburgh, PA, 15276-0119
United States",http://www.aires.com,"Aires delivers best-in-class global and domestic relocation solutions and mobility program management. Having been recognized by The Forum for Expatriate Management, the Better Business Bureau, and the Stevie Awards for organic growth methodology, excellent client/vendor partnerships, and leading-edge proprietary technology, Aires focuses on people, process, and technology to deliver world-class service. The company has also achieved ISO 9001, ISO 14001, FIDI-FAIM, C-TPAT, and Privacy Shield certifications and registrations. Clients are assured a focus on quality and customer service excellence when partnering with Aires.",1981,,Jeff Wangler  ,CEO,,jwangle@aires.com  ,Yes,,
"Alison's Relocations, Inc.","310 E 1st Ave Anchorage, AK, 99501-1644
United States",http://www.alisonsrelo.com,"Alisons Relocations provides moving services to and from all points in Alaska including the road system, rail belt, ferry system, and the bush utilizing air carriers to all points in the lower 48 via ocean carrier through the Port of Seattle and the Alaska Highway through Great Falls, MT. In addition to our primary customer base, we also have corporate clients, government and municipal contracts and are military approved. Alison’s has maintained an A average with military quality control inspections and maintains a spot-clean, secured warehouse. Our combined industry management experience and employee/mover certification program assure high quality and cost-effective moving services.",1997,,Chelsea Martin  ,Office Manager,1 345-9934Cell Phone:1 444-8203  ,cmartin@ari-alaska.net  ,,Yes,
"Alison's Relocations, Inc.","310 E 1st Ave Anchorage, AK, 99501-1644
United States",http://www.alisonsrelo.com,"Alisons Relocations provides moving services to and from all points in Alaska including the road system, rail belt, ferry system, and the bush utilizing air carriers to all points in the lower 48 via ocean carrier through the Port of Seattle and the Alaska Highway through Great Falls, MT. In addition to our primary customer base, we also have corporate clients, government and municipal contracts and are military approved. Alison’s has maintained an A average with military quality control inspections and maintains a spot-clean, secured warehouse. Our combined industry management experience and employee/mover certification program assure high quality and cost-effective moving services.",1997,,Alison McDaniel  ,President,1 9073459934Cell Phone:1 9072273422  ,amcdaniel@ari-alaska.net  ,,Yes,
